customer_id,product_name,journey_length,currently_customer,customer age group at the point of sign up
7385,product5,938,Y,under 18
7388,product5,15,N,25-35
7428,product5,539,N,under 18
7443,product11,1223,Y,25-35
7449,product11,1285,N,18 - 25
7492,product5,1792,N,25-35
7534,product5,231,N,25-35
7534,product2,204,Y,25-35
7535,product5,833,Y,under 18
7541,product11,1376,N,25-35
7545,product11,230,N,25-35
7559,product5,946,N,under 18
7583,product5,1152,N,25-35
7585,product5,664,N,under 18
7617,product5,660,N,25-35
7624,product5,459,N,under 18
7640,product1,349,N,25-35
7749,product11,993,N,25-35
7751,product1,739,N,18 - 25
7763,product5,1919,N,25-35
7779,product11,1661,N,25-35
7877,product11,236,N,18 - 25
7915,product5,997,Y,under 18
7944,product5,76,N,under 18
8028,product5,100,N,under 18
8035,product11,1579,N,18 - 25
8054,product1,911,N,18 - 25
8089,product11,126,N,25-35
8115,product5,359,Y,under 18
8156,product1,1286,N,25-35
8177,product11,2681,N,25-35
8184,product5,1895,N,25-35
8187,product5,252,N,25-35
8190,product11,1689,N,25-35
8255,product5,20,N,25-35
8259,product5,447,Y,25-35
8282,product5,40,Y,under 18
8283,product5,1349,N,25-35
8298,product11,1355,N,25-35
8362,product5,1645,N,under 18
8417,product1,383,Y,25-35
8431,product5,912,N,25-35
8433,product1,1463,N,25-35
8442,product5,1283,N,25-35
8448,product5,741,N,under 18
8484,product5,1687,Y,25-35
8490,product1,170,N,25-35
8556,product11,1587,N,25-35
8589,product5,722,N,25-35
8590,product5,1582,N,25-35
8649,product5,1494,Y,under 18
8706,product5,542,N,25-35
8709,product5,577,N,25-35
8776,product5,1708,N,25-35
8881,product5,860,N,25-35
8971,product5,4203,N,under 18
8973,product5,1151,N,25-35
9092,product5,277,N,25-35
9108,product5,1383,N,25-35
9115,product5,512,N,25-35
9181,product11,524,N,25-35
9280,product5,393,N,under 18
9308,product11,1559,N,25-35
9363,product5,570,Y,under 18
9433,product11,1103,N,25-35
9461,product5,925,N,25-35
9482,product11,1563,N,25-35
9643,product5,3997,Y,25-35
9649,product5,1000,N,25-35
9669,product5,1151,N,25-35
9669,product2,1652,N,25-35
9695,product5,187,N,under 18
9725,product11,364,N,25-35
9736,product11,1715,Y,25-35
9781,product5,83,N,under 18
9799,product11,1647,N,25-35
9808,product11,73,N,25-35
9861,product5,789,N,25-35
9861,product9,65,N,25-35
9882,product5,310,Y,25-35
9900,product5,679,N,25-35
9935,product1,867,N,25-35
9937,product11,355,Y,25-35
9964,product5,1553,N,under 18
10024,product1,1002,N,25-35
10044,product11,175,N,18 - 25
10048,product1,224,N,25-35
10116,product11,742,Y,25-35
10136,product11,691,N,25-35
10137,product5,1652,N,25-35
10151,product11,182,Y,25-35
10218,product5,9667,Y,25-35
10270,product11,399,N,25-35
10367,product5,307,N,25-35
10392,product5,2904,N,25-35
10421,product11,635,N,18 - 25
10428,product5,532,N,25-35
10435,product5,1793,N,25-35
10476,product5,85,N,25-35
10515,product5,490,N,25-35
10520,product11,926,N,18 - 25
10598,product11,1034,N,above 45
10645,product1,1633,Y,18 - 25
10653,product1,271,N,25-35
10749,product5,1494,N,25-35
10766,product1,500,N,25-35
10797,product5,773,N,under 18
10800,product5,190,Y,under 18
10817,product11,1587,N,25-35
10845,product5,20,N,under 18
10856,product11,901,N,25-35
10858,product11,341,N,25-35
10889,product11,383,N,25-35
10935,product5,3472,N,25-35
10954,product5,81,N,25-35
10986,product1,413,N,25-35
10993,product5,1255,N,25-35
10999,product5,1554,N,under 18
11029,product5,1589,Y,25-35
11109,product5,1549,Y,under 18
11110,product5,336,N,25-35
11160,product5,155,N,25-35
11160,product11,8,N,25-35
11184,product5,115,N,under 18
11197,product5,757,N,25-35
11199,product5,23,N,under 18
11229,product5,673,N,25-35
11248,product5,301,N,25-35
11250,product5,589,Y,25-35
11260,product5,925,N,25-35
11265,product5,585,N,25-35
11266,product5,1582,N,under 18
11268,product5,3738,N,25-35
11289,product5,2527,N,25-35
11305,product11,1035,N,25-35
11313,product11,859,N,25-35
11347,product11,1615,Y,25-35
11354,product11,1310,N,25-35
11358,product5,4466,N,25-35
11372,product11,1832,N,25-35
11372,product4,1615,N,25-35
11378,product5,678,N,25-35
11389,product5,9464,N,25-35
11400,product1,19,N,25-35
11418,product5,4207,N,25-35
11422,product1,759,Y,25-35
11426,product5,228,Y,25-35
11427,product5,48,N,25-35
11447,product5,320,N,25-35
11488,product5,14,N,25-35
11491,product11,200,N,25-35
11492,product5,2681,N,25-35
11520,product11,148,N,25-35
11527,product5,1494,N,under 18
11531,product5,246,Y,under 18
11544,product11,826,N,25-35
11568,product11,1559,N,25-35
11602,product11,34,N,18 - 25
11667,product11,40,N,18 - 25
11670,product11,551,N,18 - 25
11706,product11,19,N,25-35
11726,product1,1167,N,25-35
11730,product1,1552,N,18 - 25
11752,product5,5432,N,25-35
11753,product5,11237,N,25-35
11755,product5,11445,N,25-35
11756,product5,4410,N,25-35
11827,product5,5313,N,25-35
11830,product5,9821,N,25-35
11858,product5,20,N,under 18
11885,product5,5252,N,25-35
11886,product5,557,Y,25-35
11928,product5,296,N,25-35
11936,product5,496,N,25-35
12002,product11,1587,N,25-35
12012,product11,1026,N,25-35
12094,product5,63,N,25-35
12094,product2,64,N,25-35
12095,product5,280,N,25-35
12118,product5,455,N,25-35
12142,product1,535,N,25-35
12156,product11,900,N,25-35
12162,product11,1559,Y,25-35
12173,product5,2177,N,25-35
12192,product5,2415,N,25-35
12197,product1,1521,N,above 45
12240,product11,0,Y,25-35
12258,product11,1559,N,25-35
12280,product5,4700,N,25-35
12305,product11,611,N,25-35
12369,product5,1587,Y,25-35
12400,product1,1535,N,35-45
12424,product11,34,N,above 45
12454,product1,1559,N,25-35
12455,product5,1338,Y,25-35
12459,product5,3724,N,under 18
12507,product5,265,N,under 18
12515,product1,1535,N,35-45
12559,product5,56,N,25-35
12567,product1,7,N,above 45
12605,product11,134,N,25-35
12617,product5,1519.5,N,25-35
12622,product5,2860,Y,25-35
12623,product5,2521,N,25-35
12636,product11,82,N,35-45
12640,product11,30,N,35-45
12651,product5,294,N,25-35
12710,product5,1018,Y,25-35
12719,product5,344,N,25-35
12720,product5,3171,N,25-35
12722,product11,60,N,35-45
12739,product11,163,N,35-45
12760,product1,958,N,above 45
12762,product5,1553,N,under 18
12813,product11,1569,N,above 45
12830,product5,1553,N,25-35
12844,product11,939,N,25-35
12925,product11,30,N,above 45
12942,product11,969,N,above 45
12954,product5,1553,Y,25-35
12966,product11,1579,N,35-45
12967,product1,1020,N,35-45
12971,product1,1559,N,25-35
12983,product5,16,N,25-35
12983,product9,540,N,25-35
12996,product1,502,N,25-35
13006,product5,710,Y,under 18
13012,product1,423,N,above 45
13017,product11,436,N,35-45
13022,product5,7581,N,25-35
13023,product5,3654,N,25-35
13024,product5,3654,N,25-35
13039,product5,137,N,25-35
13043,product11,1559,N,25-35
13044,product11,341,Y,18 - 25
13049,product5,9394,N,25-35
13050,product5,1356,N,25-35
13062,product1,1569,N,above 45
13072,product11,1488.5,N,25-35
13078,product11,433,N,35-45
13101,product5,116,N,25-35
13131,product5,160,N,25-35
13132,product5,3738,N,25-35
13151,product1,1559,N,25-35
13222,product5,35,N,25-35
13276,product5,411,Y,under 18
13286,product11,1111,N,18 - 25
13304,product5,174,N,25-35
13307,product1,57,N,18 - 25
13316,product5,1078,N,25-35
13416,product5,133,N,25-35
13416,product9,7,N,25-35
13420,product5,225,N,25-35
13445,product11,4606,Y,18 - 25
13467,product5,2233,N,25-35
13504,product11,1731,N,above 45
13550,product11,1569,Y,18 - 25
13582,product11,159,N,18 - 25
13592,product5,1553,Y,25-35
13639,product1,1146,N,above 45
13671,product11,978,N,above 45
13707,product5,1038,N,25-35
13771,product5,823,Y,under 18
13771,product6,411,N,under 18
13782,product11,27,N,35-45
13809,product1,29,N,above 45
13868,product11,586,N,35-45
13907,product5,3,N,25-35
13919,product5,1519.5,N,under 18
13934,product5,558,N,25-35
13937,product5,1494,Y,under 18
13949,product5,1556,N,25-35
13953,product1,844,N,25-35
13953,product11,230,N,25-35
13969,product5,3,N,under 18
13973,product5,239,N,25-35
13981,product1,78,N,above 45
13982,product11,60,N,25-35
14002,product5,5461,N,under 18
14035,product5,545,N,under 18
14094,product5,119,N,under 18
14138,product11,1569,N,25-35
14146,product5,624,N,25-35
14154,product5,262,N,25-35
14172,product5,90,N,25-35
14188,product5,1519.5,N,under 18
14189,product5,1556,Y,25-35
14193,product1,1569,N,35-45
14237,product5,1545,N,under 18
14240,product5,95,N,25-35
14256,product11,297,N,35-45
14289,product5,433,N,under 18
14328,product11,1488.5,N,25-35
14346,product5,853,N,25-35
14352,product5,2429,N,under 18
14399,product11,404,N,18 - 25
14437,product5,777,N,25-35
14448,product5,305,N,under 18
14530,product5,532,N,25-35
14540,product11,251,Y,35-45
14561,product11,1569,N,25-35
14626,product5,286,Y,25-35
14634,product5,42,Y,25-35
14634,product11,21,N,25-35
14678,product5,1529.5,N,25-35
14684,product11,687,N,35-45
14714,product5,2166,Y,25-35
14716,product5,1488.5,N,25-35
14748,product11,256,N,above 45
14793,product5,268,N,25-35
14795,product5,29,N,25-35
14798,product5,1547,N,25-35
14853,product5,1039,N,25-35
14882,product5,1549,Y,25-35
14890,product1,898,N,25-35
14890,product11,1514,N,25-35
14894,product5,273,N,25-35
14903,product5,795,N,25-35
14992,product11,119,N,25-35
14993,product11,1569,N,18 - 25
15025,product1,36,N,25-35
15029,product5,28,N,25-35
15044,product11,156,N,35-45
15048,product5,1128,N,25-35
15140,product11,1559,N,35-45
15203,product5,266,N,25-35
15203,product11,726,N,25-35
15211,product5,11998,N,25-35
15249,product5,1519.5,N,under 18
15251,product5,646,N,25-35
15315,product5,1556,Y,25-35
15342,product5,10,N,25-35
15349,product5,83,N,25-35
15362,product11,1569,Y,above 45
15391,product5,81,N,25-35
15398,product5,294,Y,25-35
15415,product5,2295,N,25-35
15415,product6,151,N,25-35
15416,product5,1128,N,25-35
15418,product5,53,N,under 18
15509,product5,307,N,25-35
15560,product5,81,N,25-35
15659,product5,833,Y,under 18
15718,product5,1494,N,25-35
15734,product11,1569,N,25-35
15781,product1,872,N,35-45
15781,product11,1514,N,35-45
15824,product5,25,N,25-35
15931,product5,1722,N,25-35
15964,product5,180,N,25-35
15987,product11,671,N,25-35
15988,product1,868,Y,18 - 25
15989,product5,49,N,25-35
16045,product5,920,N,under 18
16046,product5,346,N,25-35
16050,product5,1488.5,N,25-35
16072,product1,449,Y,18 - 25
16116,product11,1514,Y,35-45
16299,product1,588,Y,18 - 25
16299,product11,868,N,18 - 25
16316,product5,356,N,25-35
16333,product11,953,N,25-35
16344,product5,438,N,25-35
16385,product5,916.5,N,25-35
16413,product5,59,N,under 18
16434,product5,792,N,25-35
16438,product5,24,N,under 18
16448,product5,1389.5,Y,25-35
16450,product5,1519.5,N,25-35
16460,product5,1285,N,25-35
16462,product5,261,N,25-35
16476,product5,548,Y,25-35
16487,product5,392,N,under 18
16491,product5,496,N,25-35
16504,product5,91,N,25-35
16641,product5,256,N,25-35
16647,product5,0,Y,25-35
16660,product5,5302,N,25-35
16663,product5,1389.5,N,25-35
16671,product5,0,Y,25-35
16689,product11,1488.5,N,25-35
16695,product1,910,Y,25-35
16712,product11,1360,Y,25-35
16730,product5,1494,N,25-35
16738,product11,338,N,25-35
16800,product5,669,N,25-35
16802,product1,1060,Y,25-35
16829,product5,706,N,under 18
16871,product11,1463,Y,18 - 25
16892,product1,320,Y,18 - 25
16961,product1,253,N,35-45
16974,product5,2024,Y,25-35
16979,product1,136,N,25-35
16980,product5,599,N,25-35
17030,product5,1494,Y,25-35
17062,product5,2709,N,25-35
17068,product5,23,N,under 18
17070,product5,102,N,25-35
17122,product5,1419.5,N,25-35
17164,product5,1494,N,under 18
17196,product5,2314,N,25-35
17205,product11,4049,N,25-35
17237,product11,550,N,18 - 25
17248,product11,845,N,above 45
17359,product5,981,N,25-35
17450,product11,455,N,25-35
17495,product5,912,Y,25-35
17509,product5,1501,N,25-35
17557,product11,1514,N,18 - 25
17608,product11,951,N,25-35
17612,product5,1494,N,25-35
17615,product11,409,N,25-35
17651,product5,317,N,under 18
17659,product5,418,N,under 18
17665,product5,1488.5,Y,25-35
17766,product5,1494,N,25-35
17799,product11,1370.5,N,above 45
17938,product5,540,N,under 18
17967,product5,13,N,25-35
17973,product5,316,Y,25-35
17993,product5,1488.5,N,25-35
18012,product5,864,N,25-35
18056,product11,274,N,35-45
18149,product11,1376,N,25-35
18206,product5,39,N,25-35
18211,product5,1389.5,N,25-35
18251,product5,1002,N,under 18
18311,product1,1370.5,N,above 45
18327,product5,87,N,25-35
18357,product5,439,N,25-35
18401,product1,1360,N,25-35
18409,product11,32,N,35-45
18446,product5,422,N,25-35
18468,product1,207,N,25-35
18475,product11,985,N,above 45
18484,product5,175,N,25-35
18485,product5,557,N,under 18
18537,product5,56,N,25-35
18544,product5,1761,N,25-35
18545,product5,7756,N,under 18
18565,product11,649,N,35-45
18620,product5,423,N,25-35
18659,product5,209,N,25-35
18679,product5,316,N,under 18
18772,product5,11,N,25-35
18781,product11,1370.5,N,above 45
18793,product5,1494,N,25-35
18796,product5,386,N,under 18
18799,product5,112,N,under 18
18802,product5,925,N,under 18
18926,product5,1002,N,under 18
18980,product5,591,Y,under 18
19040,product5,1337.5,Y,under 18
19072,product5,9,N,25-35
19116,product5,2471,N,25-35
19118,product5,711,Y,under 18
19164,product5,224,N,25-35
19175,product5,9541,N,25-35
19213,product5,227,N,25-35
19287,product5,363,N,under 18
19298,product5,3143,N,25-35
19348,product5,191,N,25-35
19354,product5,529,N,under 18
19393,product11,27,N,25-35
19394,product11,1313,N,25-35
19454,product5,1582,N,25-35
19457,product5,7438,N,25-35
19459,product5,1494,N,under 18
19498,product11,27,N,25-35
19664,product11,1365,N,25-35
19672,product5,588,N,under 18
19676,product5,675,N,25-35
19678,product5,888,Y,under 18
19686,product11,604,N,25-35
19712,product11,416,N,35-45
19725,product5,8764,N,25-35
19776,product11,402,N,18 - 25
19790,product11,1365,N,25-35
19820,product11,410,N,25-35
19820,product7,230,N,25-35
19820,product8,1370.5,N,25-35
19855,product5,159,Y,under 18
19856,product5,221,N,25-35
19871,product5,374,N,25-35
19872,product5,3927,N,under 18
19968,product5,819,N,25-35
20053,product5,80,N,25-35
20069,product5,4564,N,25-35
20069,product3,1156,N,25-35
20130,product5,571,N,under 18
20167,product5,3115,N,25-35
20170,product11,823,N,18 - 25
20282,product7,259,N,18 - 25
20294,product5,1400,Y,under 18
20353,product5,0,Y,25-35
20367,product7,245,N,18 - 25
20369,product7,1197,N,18 - 25
20391,product1,459,N,25-35
20426,product5,4844,N,under 18
20431,product5,963,N,25-35
20476,product7,621,N,18 - 25
20493,product7,164,N,18 - 25
20627,product7,77,N,18 - 25
20649,product5,2687,N,25-35
20731,product5,17,Y,25-35
20733,product5,11,N,25-35
20776,product5,51,N,25-35
20781,product5,219,N,25-35
20828,product7,2492,N,18 - 25
20866,product5,658,N,25-35
20930,product5,281,N,25-35
21025,product5,146,N,25-35
21029,product1,875,N,25-35
21052,product5,74,N,25-35
21054,product5,152,Y,25-35
21135,product5,1389.5,N,25-35
21145,product11,415,N,18 - 25
21241,product5,4,N,25-35
21266,product5,868,Y,25-35
21277,product5,7,N,25-35
21280,product5,275,N,25-35
21287,product11,1045,N,25-35
21427,product7,98,N,under 18
21459,product5,3409,N,above 45
21471,product11,2837,N,25-35
21547,product5,438,N,under 18
21583,product5,16,N,25-35
21584,product5,936,Y,25-35
21584,product6,1494,N,25-35
21608,product5,8,N,25-35
21619,product7,1705,N,under 18
21626,product1,0,Y,25-35
21661,product5,416,N,under 18
21680,product7,966,N,under 18
21699,product5,13450,N,25-35
21731,product5,1586,N,25-35
21869,product11,20,N,18 - 25
21920,product11,750,N,25-35
21965,product1,603,N,25-35
22033,product11,32,N,25-35
22076,product11,552,N,18 - 25
22088,product5,1319,N,under 18
22172,product5,1252,N,25-35
22215,product5,2484,N,25-35
22215,product7,1379,N,25-35
22247,product5,331,Y,above 45
22257,product5,1379,Y,under 18
22271,product5,447,N,25-35
22290,product7,585,N,under 18
22292,product7,1417,N,under 18
22315,product5,631,N,25-35
22407,product5,17,N,25-35
22466,product11,251,N,25-35
22485,product5,1078,N,25-35
22506,product11,611,N,25-35
22586,product5,1258.5,N,25-35
22625,product7,413,N,under 18
22695,product5,1389.5,Y,25-35
22815,product5,190,N,25-35
22829,product5,69,N,above 45
22838,product11,266,N,35-45
22940,product11,86,N,25-35
23100,product1,501,N,25-35
23102,product11,1311.5,N,35-45
23161,product5,505,N,above 45
23162,product5,568,N,above 45
23167,product5,700,N,above 45
23173,product5,1379,N,25-35
23188,product7,257,Y,under 18
23211,product11,48,N,25-35
23255,product5,356,N,25-35
23277,product11,1355,N,25-35
23280,product1,29,N,18 - 25
23328,product11,398,N,25-35
23378,product5,959,N,above 45
23446,product11,518,N,25-35
23495,product5,1219,N,above 45
23515,product5,28,N,25-35
23520,product5,253,N,under 18
23536,product7,1001,N,18 - 25
23554,product1,908,N,25-35
23586,product5,1890,N,above 45
23607,product5,1389.5,N,under 18
23630,product11,583,N,25-35
23710,product11,10,N,25-35
23822,product11,228,N,25-35
23825,product11,1311.5,N,above 45
23835,product11,106,N,25-35
23914,product11,3075,N,above 45
23961,product5,1389.5,Y,above 45
24057,product1,1298,N,above 45
24058,product11,1040,N,25-35
24064,product1,1355,Y,25-35
24131,product5,925,Y,under 18
24184,product7,1082,N,under 18
24245,product1,48,N,above 45
24281,product5,84,N,under 18
24307,product7,640,Y,under 18
24319,product11,183,N,35-45
24327,product1,1311.5,N,35-45
24349,product5,344,N,25-35
24495,product1,29,N,25-35
24531,product11,16,N,35-45
24629,product5,1128,N,25-35
24640,product5,1379,N,25-35
24699,product5,224,N,above 45
24781,product5,828,N,above 45
24804,product1,1313,N,25-35
24809,product11,1285,N,above 45
24851,product11,1311.5,N,above 45
24895,product5,1000,N,25-35
24899,product5,9,N,under 18
24904,product5,1379,Y,under 18
24989,product5,22,N,above 45
25009,product5,1379,Y,above 45
25046,product5,102,N,above 45
25054,product5,1379,N,under 18
25131,product5,2485,N,above 45
25140,product5,42,Y,25-35
25217,product11,597,N,25-35
25453,product5,339,N,above 45
25509,product1,1286,N,25-35
25541,product7,187,N,under 18
25560,product11,1311.5,Y,above 45
25601,product11,221,N,25-35
25606,product11,1994,N,25-35
25607,product11,1298,N,above 45
25610,product5,1325,Y,25-35
25640,product7,680,N,under 18
25758,product1,643,N,18 - 25
25839,product5,83,N,under 18
25860,product7,1393,N,under 18
25889,product5,355,Y,above 45
26050,product5,41,Y,above 45
26104,product5,4858,Y,under 18
26179,product11,1313,Y,25-35
26214,product5,142,N,above 45
26245,product11,76,N,25-35
26261,product5,1153.5,N,above 45
26350,product5,330,N,under 18
26386,product11,331,N,25-35
26404,product5,398,N,above 45
26408,product5,526,N,25-35
26424,product7,1302,Y,under 18
26437,product11,218,N,25-35
26489,product5,15,N,25-35
26490,product5,3556,N,25-35
26491,product5,439,N,under 18
26495,product5,,N,25-35
26532,product5,1638,N,above 45
26571,product11,1310,N,25-35
26578,product5,319,N,above 45
26579,product5,1379,N,above 45
26626,product5,1379,N,above 45
26627,product5,52,N,above 45
26650,product5,1128,N,25-35
26687,product11,417,N,25-35
26902,product5,2401,N,above 45
26911,product5,106,N,25-35
27043,product11,660,N,above 45
27096,product5,1494,N,above 45
27118,product5,1128,N,25-35
27196,product5,1356,N,above 45
27214,product5,805,N,25-35
27242,product11,1285,N,above 45
27268,product5,463,N,above 45
27299,product5,19,Y,above 45
27310,product5,203,N,under 18
27407,product5,1258.5,N,25-35
27431,product5,490,Y,above 45
27434,product5,588,N,above 45
27482,product5,508,N,under 18
27485,product5,517,N,under 18
27544,product11,1285,N,above 45
27651,product1,95,N,25-35
27659,product7,618,Y,under 18
27700,product11,603,N,25-35
27708,product11,114,N,35-45
27736,product5,1545,N,above 45
27747,product5,221,N,above 45
27829,product7,355,N,18 - 25
27847,product7,970,N,under 18
27880,product5,391,Y,above 45
27896,product5,1058,N,25-35
27898,product5,602,N,25-35
27905,product5,545,N,under 18
27906,product5,4,N,25-35
27918,product5,1153.5,N,above 45
27980,product5,81,N,25-35
27997,product5,1666,N,above 45
27997,product8,1337.5,N,above 45
28002,product1,1263,N,25-35
28019,product7,218,N,18 - 25
28075,product5,225,N,under 18
28091,product7,819,N,18 - 25
28226,product11,1814,N,18 - 25
28270,product5,278,N,under 18
28276,product5,857.5,N,25-35
28280,product5,3108,N,25-35
28285,product5,1319,N,under 18
28319,product5,1337.5,N,above 45
28341,product5,630,N,25-35
28392,product5,819,N,under 18
28439,product11,132,N,18 - 25
28491,product5,844.5,N,under 18
28511,product7,1001,Y,under 18
28543,product5,79,Y,25-35
28595,product1,1619,N,35-45
28603,product5,618,N,25-35
28646,product1,306,Y,25-35
28666,product11,502,N,25-35
28680,product5,1258.5,N,25-35
28682,product5,1553,N,25-35
28684,product5,3710,N,25-35
28687,product5,1337.5,N,under 18
28695,product5,1002,N,under 18
28822,product5,197,N,under 18
28841,product5,148,Y,25-35
28842,product5,11817,N,under 18
28884,product11,32,N,18 - 25
29055,product11,889,N,18 - 25
29098,product5,1153.5,N,above 45
29133,product5,320,N,25-35
29133,product10,1258.5,N,25-35
